[0.00 -> 9.00]  Allah is All-Knowing, All-Wise.
[9.00 -> 15.00]  That He may admit the believing men and believing women into gardens
[15.00 -> 19.00]  under which rivers flow,
[19.00 -> 21.00]  where they will find faith,
[21.00 -> 25.00]  and will remove their evils from them.
[25.00 -> 32.00]  wa kaana dhābika ʿinda Allāhi fawzan ʿaʿbīmā
[32.00 -> 36.00]  wa yuʿadhiba l-munāfiqīna wa l-munāfiqāti
[36.00 -> 39.00]  wa l-mushrikīna wa l-mushrikāti
[39.00 -> 45.00]  allāhi l-mushrikīna bi-l-māhi
[45.00 -> 49.00]  ʿanmunna s-sawū
[49.00 -> 53.00]  ʿalayhim dā'iratu s-sawūi
[53.00 -> 82.92]  So we hand over in sha Allah.
[82.92 -> 84.92]  Thank you.
[112.92 -> 114.98]  you
[142.92 -> 144.98]  you
[172.92 -> 174.98]  you
[202.92 -> 208.92]  In the name of Allah, the Most Gracious, the Most Merciful.
[262.92 -> 271.92]  This one passes through here, this one passes through there.
[271.92 -> 283.92]  The one who does not see heaven, he passes through the door of the Prophet.
[283.92 -> 296.16]  mai yaki se yeh kahunga
[296.16 -> 303.16]  hoi mujh ko didaarungi
[303.16 -> 309.16]  I will say this with certainty
[309.16 -> 315.16]  Oh, I have seen him
[315.16 -> 320.16]  Sometimes his green hair
[320.16 -> 324.16]  Sometimes his green hair
[324.16 -> 330.16]  He has been in my eyes repeatedly
[330.16 -> 336.64]  Kabhi unka zaab zubumbat
[336.64 -> 342.08]  Fakat unka hi waseela
[342.08 -> 347.76]  Jo humesha kaam aaya
[347.76 -> 352.88]  Fakat unka hi waseela
[352.88 -> 358.16]  Jo humesha kaam aaya
[358.16 -> 368.16]  Bade Inqilab Aaye, Wo Tamaam Sarse Guzre
[368.16 -> 379.16]  Bade Inqilab Aaye, Wo Tamaam Sarse Guzre
[379.16 -> 389.16]  Jis dekhni ho zannat ho nabi ke dal se guzre
[389.16 -> 396.16]  Mai maru to mere labh par
[396.16 -> 402.16]  Ho re aas zeetra unka
[402.16 -> 407.16]  Mai maru to mere labh par
[407.16 -> 436.16]  kore aas deekh unka yehi ik dua hai yaar apu yehi ik dua hai yaar apu yeh dare asar se guzre
[436.16 -> 447.16]  jisse dekhni ho jamna wo nabi ke dar se guzre
[447.16 -> 457.16]  woj dar se guzre ye udar udar se guzre
[457.16 -> 465.16]  jisse dekhni ho jamna
[465.16 -> 472.16]  Thank you very much.
[472.16 -> 473.16]  Thank you.
[473.16 -> 477.16]  Before we begin insha'Allah, I can ask the brothers to come forward insha'Allah.
[477.16 -> 484.16]  Just hold a small samizah insha'Allah in front of the table and a hand over now to our esteemed sheikh, Sheikh Abdul Rahim Barak.
[495.16 -> 497.22]  you
[525.16 -> 527.22]  you
[555.16 -> 557.22]  you
[585.16 -> 587.22]  you
[615.16 -> 617.22]  you
[645.16 -> 647.22]  you
[675.16 -> 677.22]  you
[705.16 -> 707.22]  you
[735.16 -> 737.22]  you
[765.16 -> 767.22]  you
[795.16 -> 797.22]  you
[825.16 -> 827.22]  you
[855.16 -> 857.22]  you
[885.16 -> 887.22]  you
[915.16 -> 917.22]  you
[945.16 -> 963.60]  So the Prophet sallallahu alayhi wa sallam announced that they will go to do pilgrimage
[963.60 -> 970.56]  and they went and it is I want to tell you the full but just to get you the gist of it
[970.56 -> 975.12]  that at the end they were not allowed to do pilgrimage, they were not allowed to do
[976.72 -> 984.08]  umrah, they were not allowed to do the pilgrimage, but instead the Quraishi stopped them
[984.80 -> 990.40]  and they made a treaty that they would come another year after this and it is really after
