[0.00 -> 2.06]  you
[60.00 -> 62.00]  something that
[87.12 -> 89.12]  And just
[120.00 -> 127.28]  means is, if you come with a full cup, meaning things that you've heard before, you've learned
[127.28 -> 134.32]  a little bit of this topic and that topic from somewhere else, when you started delivering or
[134.32 -> 143.12]  started delivering a full cup, your cup overspits and the new information isn't retained and then
[143.12 -> 148.16]  ultimately you're not benefited, you go home the same. So if you come with an open mind,
[148.16 -> 152.16]  and you can really benefit from the true transformation.
[152.16 -> 162.16]  And finally, you imagine that Shaitan Ahmed is speaking directly to it.
[162.16 -> 168.16]  So when you're listening to this talk, don't call my brother or my mom to hear this.
[168.16 -> 173.16]  You think, it's me. He's speaking directly to it and I need to do it.
[173.16 -> 181.96]  Um, yeah, so just to, um, just to bring ourselves in the correct mindset, we're going to begin
[181.96 -> 189.96]  this, uh, Honorable, uh, Admiral Rembrandt with, uh, some, uh, few words of, um, ch'Allah.
[189.96 -> 199.96]  in the name of Allah, the Most Gracious, the Most Merciful.
[219.96 -> 227.48]  I have found a sign for you from your Lord, so fear Allah and obey me.
[227.48 -> 232.76]  Indeed, Allah is my Lord and your Lord, so worship Him.
[232.76 -> 237.56]  This is a straight path.
[237.56 -> 243.72]  So when Jesus felt the disbelief from them, he said,
[243.72 -> 272.72]  And now, again, to get ourselves in the correct mindset, we're going to take a short break.
[272.72 -> 276.72]  mindset, we're going to play a short turn in the sheet as well.
[302.72 -> 314.72]  I am also a sinner, please don't hide your sins from me
[315.72 -> 328.72]  O man, give this heart to the one who knows only you
[328.72 -> 342.72]  Allahumma salli ala sayyidina Muhammadan
[342.72 -> 354.24]  Allahumma salli ala sayyidina Muhammadin
[354.24 -> 357.24]  1
[357.24 -> 360.24]  2
[360.24 -> 363.24]  5
[363.24 -> 366.24]  6
[366.24 -> 372.24]  7
[372.24 -> 377.24]  8
[377.24 -> 381.24]  9
[381.24 -> 407.56]  And before I hand it over to Sheikh Mohammed Mahmood, who will deliver a nasiha on transforming
[407.56 -> 409.62]  tragedies into blessing.
[409.62 -> 414.62]  It is customary to open the talk with a dua,
[415.90 -> 419.12]  so we can bless this gathering, inshallah.
[419.12 -> 421.30]  So if you, I invite you to open your hands
[421.30 -> 422.94]  and make dua with me as well.
[422.94 -> 426.94]  Allahumma salli ala Muhammadu la ila Muhammad kama salayata la ibrahim
[426.94 -> 428.94]  wa la ila Ibrahim illa qaamitu majid
[428.94 -> 430.94]  Allahumma barib ala Muhammad wa la ila Muhammad
[430.94 -> 434.94]  kama barabda ala Ibrahim wa la ila Ibrahim illa qaamitu majid
[434.94 -> 442.94]  Allah, we make dua to you, our Lord, that you guide us to yourself
[442.94 -> 448.94]  and guide us towards things that pleases you
[448.94 -> 451.94]  and keep us away from things that displease you
[451.94 -> 459.58]  Allah for anyone who is here today and also intended to come but was unable to come, Allah
[459.58 -> 466.72]  please forgive all of us and Allah place a special mercy and blessing into our lives
[466.72 -> 474.34]  and for those who are truly seeking some change, something to change, some serenity and peace
[474.34 -> 480.42]  in our hearts, Allah please only you can provide this and we make dua that you guide us to
[480.42 -> 482.42]  this piece inshallah.
[510.42 -> 512.42]  In the name of Allah, the Most Gracious, the Most Merciful.
