[0.00 -> 2.06]  you
[30.00 -> 47.52]  And the series is entitled, Turning Tragedy into Blessings.
[47.52 -> 49.28]  This will be conducted over a couple of weeks.
[49.28 -> 57.40]  InshaAllah our main teacher will be Sheikh Mohammed Mahmood who is seated at the front.
[57.40 -> 65.70]  As with everything that we try to teach here, is we come from a practical approach where
[65.70 -> 75.40]  we're less concerned about theory, less concerned about traditional sort of circles of knowledge,
[75.40 -> 78.78]  which they are concerning, I'm not saying it's not important, but it's more about coming
[78.78 -> 84.50]  here, taking away one, two, three practical things that we can implement straight away
[84.50 -> 90.66]  in our lives and we look at issues affecting us currently and common issues that affect
[90.66 -> 94.26]  us widely throughout society.
[94.26 -> 103.22]  So Alhamdulillah we've started this new series today, this will be every week Wednesday 7.30
[103.22 -> 110.98]  and the way we approach our nasiha that we say is that we come with an empty cup.
[110.98 -> 116.58]  If we come with our cups full, the Masha'ikh say that nothing can be poured into it.
[116.58 -> 120.50]  Similarly, if we come to gatherings of Nasiha with the approach that,
[120.50 -> 123.10]  oh yes, I've heard this before, I know this knowledge,
[123.10 -> 126.46]  then you will not absorb any light, you will not absorb any goodness.
[126.46 -> 132.54]  And also to direct any advice, any learning to ourselves first and foremost,
[132.54 -> 139.30]  then that way we ensure that we actually absorb and take benefit from what we hear.
[139.30 -> 144.22]  So Alhamdulillah, the basic format of our gatherings are there'll be a nasiha,
[144.22 -> 145.94]  then there'll be a collective dhikr,
[145.94 -> 151.38]  and at the end there'll be an opportunity for anybody who wants to learn more about the path of purification,
[151.38 -> 156.10]  to have a brief introduction and any one-to-one consultations that anybody requires.
[156.10 -> 162.58]  We have Sheikh Mohammed here and Ustad Haroon will be here shortly as well.
[162.58 -> 166.02]  And there is a bake sale today.
[166.02 -> 170.58]  So we have homemade bakery items at the back.
[170.58 -> 174.50]  All proceeds will go towards the humanitarian crisis
[174.50 -> 177.38]  in Gaza.
[177.38 -> 180.54]  So inshallah, everyone please take part.
[180.54 -> 181.94]  JazakAllah khair.
[181.94 -> 184.30]  First of all, we'll begin with a short recitation
[184.30 -> 188.62]  of the Quran, just to bring ourselves into the mindset
[188.62 -> 191.78]  and being ready to absorb any barakah
[191.78 -> 192.82]  from this gathering inshallah.
[192.82 -> 194.78]  So I'll ask Omar.
[195.74 -> 197.02]  He's a bit unwell, so.
[198.02 -> 198.86]  Is she okay?
[198.86 -> 199.68]  Okay, Bismillah.
[201.20 -> 203.20]  Azakumullah khayran.
[293.20 -> 303.20]  Allahumma salli ala Sayyidina Muhammadin
[304.20 -> 315.20]  Allahumma salli ala Sayyidina Muhammadin
[345.20 -> 375.00]  As we are accustomed, every star of a majlis, we direct or redirect our intention to Allah
[375.00 -> 385.16]  asking for his tawfiq, asking for his facilitation, facilitation for guidance and acceptance of
[385.16 -> 393.72]  our deeds, despite how deficient they are, inherently deficient they are.
