[0.00 -> 2.00]  Alhamdulillah
[30.00 -> 40.40]  So alhamdulillah, when we start with the Quran, just to kind of invite baraka into the gathering
[40.40 -> 45.28]  and also just to, you know, the beautiful words of Allah, there's no better way than
[45.28 -> 49.00]  to start and for us to benefit as well.
[49.00 -> 56.48]  Really we're coming here to learn from the words of the teachings of Allah SWT and our
[56.48 -> 61.88]  beloved dear Messenger sallallahu alaihi wasallam so that we can implement real change in our lives.
[61.88 -> 72.20]  So I said that we'll start with just thinking about almost over a week ago it was Eid okay
[72.20 -> 78.44]  alhamdulillah and I say that that's almost everyone's favorite time of year right but
[78.44 -> 86.04]  also there's something to think about when it when we think about Eid in that specifically
[86.04 -> 91.96]  the Eid that took place last week was at the end of the 10 days of Dhul-Hijjah and those are the
[91.96 -> 97.88]  blessed 10 days of the year and we know that during those blessed days that every good deed
[97.88 -> 105.96]  we do it has increased reward, right? So it's interesting that when Eid comes everyone's
[105.96 -> 114.68]  celebrating, everyone's happy, sharing food, inviting family, but really it's actually a time
[114.68 -> 118.36]  we recognize that the the days of Dhul-Hijjah finished,
[118.36 -> 121.80]  that those blessed 10 days, you don't have access to them anymore.
[121.80 -> 126.92]  So it's actually quite sad if you think about it. So then the question is,
[126.92 -> 131.48]  if it's the end of a blessing, and this is the same for Ramadan, if Ramadan's
[131.48 -> 137.00]  the best month of the year, why do we celebrate the end of the blessing?
[137.00 -> 141.72]  Because a time where forgiveness is more, you're able to gain Allah's
[141.72 -> 145.64]  forgiveness easier, every good deed you do is multiplied,
[145.64 -> 151.24]  everyone should be, it's almost like it's very sad when that time ends, isn't it?
[151.24 -> 155.80]  But on Eid are people sad? And they're usually very happy and celebrating,
[155.80 -> 159.16]  sometimes for the wrong reasons, we don't know.
[159.16 -> 164.04]  But of course the Prophet Sallallahu Alaihi Wasallam taught us that Eid is our,
[164.04 -> 167.56]  it's our day to celebrate, right, to be joyous.
[167.56 -> 173.56]  but then the real true meaning to understand what did the prophet salallahu alaihi wa sallam want us
[173.56 -> 179.64]  you know after ramadan passes after the days of the hijr finished what are we really celebrating
[179.64 -> 186.68]  because most people when you celebrate forget being in in islam or as a muslim but most people
[186.68 -> 193.08]  when you celebrate something usually it's because you've achieved something so for example if you've
