[0.00 -> 2.00]  3, 2, 1
[30.00 -> 55.00]  Dear brothers and sisters, we join you remotely today via the livestream only due to, as you
[55.00 -> 66.04]  know the dangers outside now on the streets of London and other cities where there is
[66.04 -> 75.74]  a threat facing not just the Muslim community but a threat facing this entire country and
[75.74 -> 78.44]  everyone who lives within it.
[78.44 -> 85.92]  Now our topic today insha'Allah has changed from dealing with or managing desires and
[85.92 -> 93.82]  benefiting from them to actually reflecting on the rites and the lessons, the lessons
[93.82 -> 99.16]  that can be learned and actually the reasons behind them.
[99.16 -> 104.08]  But before we start insha'Allah we'll hand over to brother Abdullah who will open for
[104.08 -> 111.08]  us insha'Allah with a short recitation from the glorious Qur'an.
[134.08 -> 140.08]  alhamdulillahi rabbil alameen
[140.08 -> 146.08]  ar-rahman ar-rahim
[146.08 -> 151.08]  maliki yawm al-deen
[151.08 -> 158.08]  iyaa ka na'bud wa iyaa ka nasta'een
[158.08 -> 163.58]  Guide us to the straight path
[163.58 -> 168.58]  The path of those upon whom You have bestowed Your grace
[168.58 -> 178.58]  Not of those who are angry with them nor of those who are astray
[188.08 -> 190.58]  In the name of Allah, the Entirely Merciful, the Especially Merciful.
[190.58 -> 202.04]  wa la tastawil hasanatu wa la assayee'a, idfa' bil-lati hiya ahsan, fa ida alladhee baynaka wa baynahu ʿadaawatun ka'anahu wali'un hameem,
[202.04 -> 208.50]  wa ma yulakqa ha illa alladheen sabaru wa ma yulakqa ha illa dhu hazzin ʿazheem,
[208.50 -> 216.84]  wa imma yanzagannaka min ash-shayṭāni nazgun fa ʿistaʿid bil-lāhi, innahu huwa al-sami'u al-ʿaleem.
[216.84 -> 218.84]  صدق الله عظيم
[218.84 -> 224.84]  اللهم صل و سلم و بارك على سيدنا محمد وعلى آل و صحب وسلم تسليم
[226.84 -> 228.84]  الله جل مجده
[228.84 -> 230.84]  has granted us
[230.84 -> 232.84]  mankind and the jinn
[232.84 -> 234.84]  in fact also
[234.84 -> 236.84]  the freedom of will
[236.84 -> 238.84]  we've previously explained
[238.84 -> 240.84]  what does it mean that you have freedom of will
[240.84 -> 242.84]  freedom of will
[242.84 -> 244.84]  is the power
[244.84 -> 256.36]  to even disobey Allah that you have the capacity the ability to decide for
[256.36 -> 263.64]  yourself whether you want to choose good or evil and from Allah subhanahu wa ta'ala
[263.64 -> 274.04]  mercy is that he has instilled within us the knowledge of what constitutes good
[274.04 -> 286.86]  and what constitutes evil. Allah has inspired every spirit with what is evil,
[286.86 -> 297.38]  what is sinful, and what is righteous by nature. And Allah SWT has said
[297.38 -> 312.98]  Allah has guided our spirit, meaning our spirit is programmed to recognize the path of goodness.
[312.98 -> 321.56]  And so freedom of will is that you despite your knowledge of what is good, of what is
[321.56 -> 327.84]  evil so what is righteous what is wretched you choose which of them you
[327.84 -> 337.32]  want to do freedom of will is that Allah will not force you to do any good and
[337.32 -> 343.76]  freedom of will also implies that Allah will not stop you from committing any
[343.76 -> 353.56]  evil and so one should then wake up to this reality that only I can do the
[353.56 -> 357.84]  righteous deeds myself I have to make that decision meaning I have to use my
[357.84 -> 364.84]  freedom of will only I can prevent myself from the sins only I can restrain
[364.84 -> 370.92]  myself from performing evil deeds because nobody else will restrain me so
[370.92 -> 377.82]  So use my free will to resist the evil deed.
[377.82 -> 383.86]  So that is just the consequence of freedom of will.
[383.86 -> 390.22]  That you have to do everything of your own volition and that's why there's account.
[390.22 -> 399.86]  And so one of the powerful lessons that we can learn from what we're observing today
[399.86 -> 409.42]  these violent and horrific acts of really terrorism these riots is the
[409.42 -> 415.58]  power of the individual the power of the individual that freedom of will is so
[415.58 -> 424.18]  powerful that one person's heinous crime the killing of three young girls the
[424.18 -> 432.78]  the impact it had on people, that it created upheaval within a nation.
[432.78 -> 439.38]  And so such is the impact of freedom of will.
[439.38 -> 447.26]  That you can use it, one person and the impact of one individual, a person can create upheaval
[447.26 -> 448.26]  and uproar.
[448.26 -> 455.10]  Of course, we know the person was not Muslim, was not an immigrant, and there was much misinformation
[455.10 -> 459.58]  that was spread deliberately.
[459.58 -> 469.94]  What those who are deliberately causing a divide and a rift within this country are
[469.94 -> 472.38]  doing is another topic.
[472.38 -> 481.62]  But the actual individual's freedom of will that was exercised without coercion, the impact
[481.62 -> 482.98]  it had.
[482.98 -> 485.78]  And that is the power of the individual.
[485.78 -> 488.08]  Now the opposite applies as well.
[488.08 -> 497.34]  That one individual has the ability to impact an entire nation and create unity.
[497.34 -> 501.26]  That is also within the ability of the individual.
[501.26 -> 511.42]  One individual can draw, can create a rift, draw a line between communities, yes, their
[511.42 -> 522.16]  action triggers a cascade of events, yes, and also another individual's actions may
[522.16 -> 529.12]  also create a cascade of events that creates unity and this is why a person should never
[529.12 -> 534.88]  think of their efforts as insignificant or small because the rasul sallallahu alayhi wasallam he
[534.88 -> 551.12]  said do not do not belittle any of your good deeds don't belittle any good deed rather not
[551.12 -> 557.52]  just yours don't belittle any good deed that you do or another person does even if it means
[557.52 -> 562.68]  Meeting your brother with a cheerful countenance meaning with a cheerful face
[563.34 -> 567.98]  To meet your brother looking happy to meet your brother with a smile
[568.58 -> 573.50]  don't belittle it because it actually goes a long way because some people are
[573.74 -> 576.74]  frowning their face in the morning can spoil their day and
[577.54 -> 585.10]  Another person a smile or the same person in fact a smile in the morning may brighten their day
[585.10 -> 592.02]  And this concept is taught to us in the seerah of the Rasul sallallahu alaihi wasallam that when he entered his home
[592.26 -> 596.42]  He entered in a perpetual state of cheerfulness
[596.46 -> 603.98]  maybe the Rasul sallallahu alaihi wasallam was carrying so much so much of the weight and pressure and stress of the da'wah and
[604.78 -> 611.46]  and the constant attacks on him sallallahu alaihi wasallam and his and his his
[611.46 -> 617.80]  companions and the weight of the mission, the mission which is to call people to
[617.80 -> 621.44]  Allah subhanahu wa ta'ala and save them from the hellfire. But the Rasul
[621.44 -> 627.20]  sallallahu alaihi wasallam would not take that, would not take the burden with him
[627.20 -> 631.72]  home. So the Rasul sallallahu alaihi wasallam while his family of course
[631.72 -> 639.08]  carried that burden willfully and happily, the Rasul sallallahu alaihi wasallam
[639.08 -> 644.68]  even if he was let's say abused outside in the day or in the times of Mecca the Rasul Sallallahu
[644.68 -> 651.48]  Alaihi Wasallam would enter his home with a smile to make everybody feel comfortable to make everybody
[651.48 -> 659.96]  feel at ease which is a prophetic quality so one should not as we say one should not belittle
[660.52 -> 667.32]  the efforts of one deed and therefore that is how powerful the individual is it can be one word
[667.32 -> 675.80]  one word that is thrown out like that cast into like a stone that is cast into
[675.80 -> 682.20]  a crowd it's gonna hit somebody a word that is said maybe no attention is paid
[682.20 -> 687.84]  to it or maybe it's said with the intent of malice and this one word one
[687.84 -> 696.60]  statement again creates a cascade of a cascade of events or sparks if you like
[696.60 -> 703.94]  Like a cascade of events that may create violence, may create division.
[703.94 -> 708.10]  And another person can say one word that ends the violence.
[708.10 -> 710.10]  That is also possible.
[710.10 -> 722.16]  And so one should not forget or, you know, think little of themselves and their ability
[722.16 -> 725.92]  for them to actually make a positive change.
[725.92 -> 733.46]  Now what's important to mention as our Mashaikh have taught us is the reason behind these
[733.46 -> 741.12]  riots and the apparent grievances really started in the heavens.
[741.12 -> 752.72]  That we have to go back to the heavens where this whole discourse regarding immigration
[752.72 -> 760.48]  and whites and blacks or asians or muslims or it really is due and it stems from
[761.04 -> 767.92]  it stems from the problem that most people face which is they lack identity is that they don't
[767.92 -> 775.76]  know what their true identity is and the first person to demonstrate the impact of not knowing
[775.76 -> 782.20]  their identity was in fact shaitaan. Why? Because shaitaan said, shaitaan said, when
[782.20 -> 786.72]  Allah subhanahu wa ta'ala commanded him to prostrate to Sayyiduna Adam, he said, ana
[786.72 -> 797.32]  khayrun min, I, me, I'm better than him. And so the irony was that he, the irony was is
[797.32 -> 805.20]  that he didn't have, while he said he's better, he didn't even know who he is or what he is.
[805.20 -> 813.68]  He didn't have a clear idea or clear indication as to what his identity is.
[813.68 -> 817.44]  That his identity is not what he's made of.
[817.44 -> 819.52]  He said, I'm better than him.
[819.52 -> 823.84]  You created me from fire and you created him from clay.
[823.84 -> 825.82]  So he, what did he do?
[825.82 -> 832.60]  He attributed value to a quality which Allah does not look at.
[832.60 -> 842.80]  And that is your body, your skin color, your wealth, your status, your rank in society.
[842.80 -> 849.24]  Allah does not give any, that Allah subhanahu wa ta'ala does not value those things.
[849.24 -> 852.70]  But he valued it, shaytan valued it.
[852.70 -> 858.96]  And that is a clear demonstration that he didn't know what his identity was.
[858.96 -> 860.80]  He didn't know who he was.
[860.80 -> 870.52]  And so he identified as the physical being that he is, that he's made of fire.
[870.52 -> 875.16]  Physical or energy, whichever you want to call it.
[875.16 -> 882.28]  But really Allah SWT, He put us here on earth, so the jinn, they're given their body.
[882.28 -> 884.30]  Their body is made of fire.
[884.30 -> 886.06]  Human beings are given a body.
[886.06 -> 888.70]  This body is made of clay, right?
[888.70 -> 897.66]  is your suit this is like we are we're not from here as we've mentioned time and again that we
[897.66 -> 902.86]  are our spirits our spirits have come from a heavenly realm and they're sitting a trial now
[902.86 -> 911.02]  in this dunya and so you're doing you now have your space suit that you have on right if you go
[911.02 -> 919.82]  to a tailor and the tailor makes for you a suit the suit isn't you you are not the suit yes and so
[919.82 -> 926.46]  the spirit is wearing this suit right now which is the body the spirit is also wearing the boot the
[926.46 -> 932.86]  suit which is made of fire for the for the jinn that's not who they are either to sit the trial
[932.86 -> 937.42]  and so what did shaitaan do shaitaan looked at the suit that he was wearing and said this is me
[937.42 -> 948.06]  me. I'm better. You created me from fire. I'm bright. I'm white. Yes, I'm radiant and
[948.06 -> 959.46]  he is made of clay. He's dark. He's inferior to me. And so this is the first demonstration
[959.46 -> 965.70]  of how first demonstration of how the lack of identity not knowing who you are
[966.90 -> 972.58]  not knowing who you are causes your fall causes your downfall now
[976.58 -> 982.98]  the lessons for the lessons now for us as well as as Muslims is as much as we
[982.98 -> 986.32]  We deplore what we have been seeing.
[986.32 -> 993.44]  So we look at, let's take for example, the genocide happening in Gaza.
[993.44 -> 996.28]  We look at the civil war happening in Sudan.
[996.28 -> 1001.68]  We look at the corruption, I don't want to attribute to any one country so as not to
[1001.68 -> 1006.08]  cause offense, but financial corruption, political corruption.
[1006.08 -> 1012.82]  And here we look now at this senseless aggression, senseless violence and racism, which is
[1012.82 -> 1016.10]  born out of ignorance and makes no sense.
[1016.10 -> 1019.30]  There's no logic to it.
