[0.00 -> 2.06]  you
[30.00 -> 58.88]  We will, we are commemorating the month of Rabi ul Awal.
[58.88 -> 65.64]  not just an ordinary month this is the month where the the the the center the
[65.64 -> 72.08]  master the purpose of all creation entered into the physical world I'm
[72.08 -> 81.54]  speaking of Rasulullah sallallahu alayhi wa sallam so inshallah over the next few
[81.54 -> 85.48]  weeks or the remainder of the month we will be covering several different
[85.48 -> 92.48]  topics and lessons and teachings about our beloved messenger sallallahu alayhi wa sallam
[92.48 -> 95.48]  as for those who
[104.48 -> 108.48]  sorry what we will do without the screen now today
[108.48 -> 113.48]  our media team is away so we are using
[113.48 -> 120.74]  Temporary backup somebody who doesn't come so we are really appreciative of his you know, you drove one and a half hour to be here
[120.74 -> 122.74]  So doesn't know what to be grateful
[123.72 -> 125.24]  all the way from
[125.24 -> 131.52]  Outside of London in fact the forum would so we appreciate him taking making the sacrifice. But anyway
[132.66 -> 134.66]  We will we will be
[134.78 -> 136.78]  exploring the Prophet sallallahu alaihi wa sallam
[137.66 -> 140.64]  Especially in this blessed month for those who are new to the gathering
[140.64 -> 148.80]  Then we have a nasiha, then we have dhikr salawat session, and then we have an opportunity
[148.80 -> 153.32]  for anybody who wants to learn more about the path to Allah and anybody who needs any
[153.32 -> 155.92]  personal one-to-one consultation.
[155.92 -> 161.36]  We have a mashayikh present and we can provide that.
[161.36 -> 166.68]  The way we approach the gatherings is that this is not an academic gathering, it's a
[166.68 -> 171.96]  gathering of lights and Nasiha for anybody and everybody it doesn't matter who you are what the
[171.96 -> 177.72]  Nasiha is we all can benefit so the best way to benefit from this is to direct it to ourselves
[177.72 -> 185.08]  and also and not think about how so-and-so should be listening to this also um we should approach
[185.80 -> 190.28]  this if it's a topic that we are aware of already have heard it many times
[190.28 -> 202.28]  If the cup is full, then nothing enters. If the cup is empty, then you can benefit.
[202.28 -> 204.28]  So that's the approach that we take.
[204.28 -> 206.28]  So Alhamdulillah, we will commence.
[206.28 -> 212.28]  To begin with, I'll ask Brother Usman to recite a few Ayahs.
[220.28 -> 222.28]  Oh
[250.28 -> 252.28]  I
[280.28 -> 282.28]  I
[340.28 -> 342.28]  I
[370.28 -> 372.28]  I
[430.28 -> 449.28]  in the name of Allah, the most Gracious, the most Merciful.
[449.28 -> 453.28]  I pray and greet the Master of the first and the last.
[453.28 -> 456.28]  Our Master and our Lord and our Beloved and our intercessor, Muhammad,
[456.28 -> 459.28]  from the religion to the prayer of our Lord and peace be upon him,
[459.28 -> 462.28]  and upon the good and the good.
[462.28 -> 464.28]  And whoever calls upon my call, I wait with my tongue,
[464.28 -> 467.28]  until the day of judgment.
[467.28 -> 469.28]  O Lord, forgive my patience and ease my affairs,
[469.28 -> 472.28]  and grant me a firm tongue that understands my words.
[472.28 -> 474.28]  Glory be to You, we have no one but You.
[474.28 -> 477.28]  We wait for You and thank You for what You say.
[507.28 -> 513.96]  the nasiha and gathering of dhikr.
[513.96 -> 516.72]  And as Baba Abdullah rightly said,
[516.72 -> 520.88]  that one should consider that the advice is directed
[520.88 -> 523.08]  to them individually.
[523.08 -> 531.36]  And that the advice is directed to oneself individually
[531.36 -> 532.64]  and to nobody else.
[532.64 -> 535.76]  And that starts with the speaker himself,
[535.76 -> 540.76]  that what he says he is saying to himself first and foremost.
[542.52 -> 547.52]  And one should direct their intention
[547.60 -> 550.20]  towards the pleasure of Allah Subh'anaHu Wa Ta-A'la.
[551.96 -> 556.96]  For the smallest deeds are like mountains
[557.48 -> 562.48]  in the sight of Allah Subh'anaHu Wa Ta-A'la with sincerity.
[562.48 -> 572.48]  and the mountainous deeds are like dust in the sight of Allah when there is insincerity and so
[575.04 -> 582.56]  one should always be conscious of that whenever they are doing anything starting with the acts
[582.56 -> 590.32]  of worship and then even normal worldly mundane acts when somebody observes an intention to please
[590.32 -> 597.82]  Allah through it, then everything becomes worship. And so to help us to regain that
[597.82 -> 609.12]  focus and concentration and the intention to please Allah SWT, we'll start with a short
[609.12 -> 610.12]  dua.
[610.12 -> 611.12]  Bismillah ar-Rahman ar-Rahim.
[611.12 -> 631.58]  We will all come today seeking your pleasure and your pleasure alone.
[631.58 -> 637.68]  Anybody who has come for any other reason with any ulterior motive correct their intention
[637.68 -> 643.12]  and accept from them their sacrifices and effort to come here.
[643.12 -> 650.64]  You know the weather and conditions and the hardship and the struggles
[650.64 -> 656.80]  that people had to endure to come here today and you are the only one who is a shafu that truly
[656.80 -> 664.48]  appreciates you. So reward everyone for their attendance today and make this evening an evening
[664.48 -> 671.68]  of change and the rain that is coming down as you have as your blessed messenger has said that the
[671.68 -> 677.76]  heavens open and the dua is accepted accept our dua and accept our repentance this evening
[677.76 -> 699.92]  Allah subhanahu wa ta'ala, it is his sunnah, meaning his way that he operates through means.
[699.92 -> 705.18]  Allah ta'ala is ala kulli shaytan qadir, what does that mean, it means that he is capable
[705.18 -> 716.38]  of everything. Himself, intrinsically, Allah is capable of doing everything. His power is absolute
[716.38 -> 726.46]  and it is inherent to him. So Allah does not need aids, he does not need assistance, he doesn't need
[726.46 -> 735.94]  support, he doesn't need ministers, he doesn't need advisors, nor does Allah
[735.94 -> 747.58]  need the means either, but he from his infinite wisdom willed that he use
[747.58 -> 758.56]  means with his creation and so there are angels appointed to do pretty much
[758.56 -> 764.80]  everything that you can imagine the rain that is coming down it's operated
[764.80 -> 772.12]  through means and they're the angels the clouds moving in any which direction the
[772.12 -> 779.40]  wind operated by angels. Our rizq, the wealth that we that
[779.40 -> 788.92]  we're granted is given to us or delivered to us by angels. The
[788.92 -> 793.56]  spirit, the Ruh, when brought from another world, which Allah
[793.56 -> 801.72]  knows best about, entered our body through an angel, an
[801.72 -> 808.80]  angel blows the rooh into the embryo. And an angel also takes
[808.80 -> 812.32]  the rooh, melakun melakun, the angel of death. Now Allah
[812.32 -> 818.80]  is able to do all of that. Every blood cell in our body, while
[818.80 -> 823.68]  we see that the heart is pumping and that yes, the red blood
[823.68 -> 827.64]  cells are coursing through our veins and oxygenating organs
[827.64 -> 833.76]  and muscles and everything and then returning through through the veins we
[833.76 -> 840.60]  feel there are angels behind them as well so Allah subhanahu wa ta'ala
[840.60 -> 847.64]  everything including revelation including revelation Allah subhanahu wa
[847.64 -> 853.56]  ta'ala He jalla jalaluhu operates through means now
[853.56 -> 864.76]  Now, Allah subhanahu wa ta'ala, and we have said this before, Allah has never sent a book
[864.76 -> 875.92]  except that with that book there is a problem to teach it, to embody it, to be a role model.
[875.92 -> 880.48]  And Allah, but Allah has sent prophets without books.
[880.48 -> 886.74]  So it tells us, as we know, that Allah, as we know, operates through means, and Allah
[886.74 -> 889.52]  He guides through means.
[889.52 -> 893.74]  And so those means include, as we know, the prophets.
[893.74 -> 896.94]  The prophets were means of guidance.
[896.94 -> 906.26]  And also Awliya, friends of Allah, like Sayyidina Luqman, like Sayyidina Habib Al-Najjar, who
[906.26 -> 915.62]  is mentioned in Surah Yaseen and the Messenger ﷺ referred to him in a hadith, the man who came from
[915.62 -> 921.70]  the farthest part of the city to warn his people and to tell the people to follow the prophets,
[921.70 -> 929.22]  to follow the messengers. Allah Jalla Jalaluhu guides through people and there is no greater means
[929.22 -> 935.70]  and no greater person whom Allah subhanahu wa ta'ala guides through than his beloved messenger and
[936.26 -> 942.90]  the reason for existence the messenger Muhammad sallallahu alaihi wasallam
[942.90 -> 947.46]  the messenger sallallahu alaihi wasallam was not just
[947.46 -> 953.94]  a formality as some people think that at the end of time they will come
[953.94 -> 959.14]  this messenger and it will just be you know the finalization of prophethood
[959.14 -> 964.90]  and divine revelation and that's it you know any other prophet could have
[964.90 -> 975.10]  fulfilled that purpose how far from the truth how far from the reality that the
[975.10 -> 980.78]  prophets when they saw the light of the Rasul sallallahu alaihi wasallam in the
[980.78 -> 988.18]  world of spirits all wished to be part of his ummah when the prophets in there
[988.18 -> 994.42]  when they came to this into physical existence into this world all wished as
[994.42 -> 1003.74]  we know to be to be members of the Rasul sallallahu alaihi wasallam's ummah and
[1003.74 -> 1011.02]  allahu tabaraka wa ta'ala fulfilled for them that wish of theirs in the night of
[1011.02 -> 1017.22]  Mi'raj and Isra the night of the night journey the Rasul sallallahu alaihi wasallam
[1017.22 -> 1023.46]  what was one of the objectives of leading the prophets all in prayer that
[1023.46 -> 1031.62]  Allah resurrected and brought all of the Prophets, all of them to the 124,000 Prophets
[1031.62 -> 1037.86]  behind the Rasul Sallallahu Alaihi Wasallam in order to grant them that honor that they had asked
[1037.86 -> 1046.10]  for because the Prophets, any Prophets is accepted. So Allah Ta'ala answered their prayer all at once
[1046.10 -> 1050.66]  to make them all give bay'ah and be members of the Rasul Sallallahu Alaihi Wasallam.
